name,twitter,domain,type,FirstName,LastName
katy perry,katyperry,katyperry.com,celebrity,katy,perry
justin bieber,justinbieber,smarturl.it,celebrity,justin,bieber
taylor swift,taylorswift13,grmypro.co,celebrity,taylor,swift
rihanna,rihanna,rihannanow.com,celebrity,rihanna,
the countess,ladygaga,,celebrity,the,countess
justin timberlake,jtimberlake,justintimberlake.com,celebrity,justin,timberlake
ellen degeneres,TheEllenShow,ellentube.com,celebrity,ellen,degeneres
britney spears,britneyspears,britney.lk,celebrity,britney,spears
cristiano ronaldo,Cristiano,,celebrity,cristiano,ronaldo
kim kardashian west,KimKardashian,AppStore.com,celebrity,kim,kardashian
katy perry,katyperry,katyperry.com,celebrity,katy,perry
justin bieber,justinbieber,smarturl.it,celebrity,justin,bieber
taylor swift,taylorswift13,grmypro.co,celebrity,taylor,swift
rihanna,rihanna,rihannanow.com,celebrity,rihanna,
the countess,ladygaga,,celebrity,the,countess
justin timberlake,jtimberlake,justintimberlake.com,celebrity,justin,timberlake
ellen degeneres,TheEllenShow,ellentube.com,celebrity,ellen,degeneres
britney spears,britneyspears,britney.lk,celebrity,britney,spears
cristiano ronaldo,Cristiano,,celebrity,cristiano,ronaldo
kim kardashian west,KimKardashian,AppStore.com,celebrity,kim,kardashian
shakira,shakira,rov.io,celebrity,shakira,
selena gomez,selenagomez,smarturl.it,celebrity,selena,gomez
jennifer lopez,JLo,jlo.lk,celebrity,jennifer,lopez
ariana grande,ArianaGrande,smarturl.it,celebrity,ariana,grande
demi lovato,ddlovato,demilovato.com,celebrity,demi,lovato
jimmy fallon,jimmyfallon,tonightshow.com,celebrity,jimmy,fallon
oprah winfrey,Oprah,oprah.com,celebrity,oprah,winfrey
p!nk,Pink,,celebrity,p!nk,
drizzy,Drake,octobersveryown.com,celebrity,drizzy,
harry styles.,Harry_Styles,onedirectionmusic.com,celebrity,harry,styles.
one direction,onedirection,onedirectionmusic.com,celebrity,one,direction
bill gates,BillGates,gatesnotes.com,celebrity,bill,gates
lebron james,KingJames,LeBronJames.com,celebrity,lebron,james
lil wayne weezy f,LilTunechi,youngmoney.com,celebrity,lil,wayne
bruno mars,BrunoMars,brunomars.com,celebrity,bruno,mars
kaka,KAKA,,celebrity,kaka,
adele,Adele,adele.com,celebrity,adele,
niall horan,NiallOfficial,onedirectionmusic.com,celebrity,niall,horan
miley ray cyrus,MileyCyrus,,celebrity,miley,ray
alicia keys,aliciakeys,aliciakeys.com,celebrity,alicia,keys
kevin hart,KevinHart4real,whatnowtour.com,celebrity,kevin,hart
cameron,wizkhalifa,wizkhalifa.com,celebrity,cameron,
pitbull,pitbull,youtube.com,celebrity,pitbull,
liam,Real_Liam_Payne,onedirectionmusic.com,celebrity,liam,
louis tomlinson,Louis_Tomlinson,,celebrity,louis,tomlinson
nicki minaj,NICKIMINAJ,,celebrity,nicki,minaj
neymar jr,neymarjr,neymaroficial.com,celebrity,neymar,jr
marshall mathers,Eminem,eminem.com,celebrity,marshall,mathers
emma watson,EmWatson,,celebrity,emma,watson
avril lavigne,AvrilLavigne,smarturl.it,celebrity,avril,lavigne
neil patrick harris,ActuallyNPH,,celebrity,neil,patrick
daniel tosh,danieltosh,danieltosh.com,celebrity,daniel,tosh
david guetta,davidguetta,davidguetta.com,celebrity,david,guetta
conan o'brien,ConanOBrien,teamcoco.com,celebrity,conan,o'brien
amitabh bachchan,SrBachchan,srbachchan.tumblr.com,celebrity,amitabh,bachchan
ashton kutcher,aplusk,,celebrity,ashton,kutcher
khloe kardashian,khloekardashian,khloewithak.com,celebrity,khloe,kardashian
kourtney kardashian,kourtneykardash,,celebrity,kourtney,kardashian
zayn,zaynmalik,,celebrity,zayn,
shah rukh khan,iamsrk,,celebrity,shah,rukh
coldplay,coldplay,coldplay.com,celebrity,coldplay,
mariah carey,MariahCarey,mariahcarey.com,celebrity,mariah,carey
ed sheeran,edsheeran,,celebrity,ed,sheeran
christina aguilera,xtina,christinaaguilera.com,celebrity,christina,aguilera
jim carrey,JimCarrey,jimcarrey.com,celebrity,jim,carrey
kanye west,kanyewest,KANYEWEST.COM,celebrity,kanye,west
chris brown,chrisbrown,chrisbrownworld.com,celebrity,chris,brown
aamir khan,aamir_khan,aamirkhan.com,celebrity,aamir,khan
salman khan,BeingSalmanKhan,,celebrity,salman,khan
agnez mo,agnezmo,agnezmo.com,celebrity,agnez,mo
beyoncí© knowles,Beyonce,beyonce.com,celebrity,beyoncí©,knowles
blake shelton,blakeshelton,blakeshelton.com,celebrity,blake,shelton
ryan seacrest,RyanSeacrest,ryanseacrest.com,celebrity,ryan,seacrest
ivete sangalo,ivetesangalo,ivetesangalo.com,celebrity,ivete,sangalo
leonardo dicaprio,LeoDiCaprio,leonardodicaprio.com,celebrity,leonardo,dicaprio
paris hilton,ParisHilton,ParisHilton.com,celebrity,paris,hilton
will.i.am,iamwill,will.i.am,celebrity,will.i.am,
ø¿. ™ƒø_™ƒø¿ #ø_™‹ø_ø±™_™™_,MohamadAlarefe,arefe.com,celebrity,ø¿.,™ƒø_™ƒø¿
kendall jenner,KendallJenner,,celebrity,kendall,jenner
ashleytisdalefrench,ashleytisdale,thehautemess.com,celebrity,ashleytisdalefrench,
tyra banks,tyrabanks,tyra.com,celebrity,tyra,banks
snoop dogg,SnoopDogg,YouTube.com,celebrity,snoop,dogg
alejandro sanz,AlejandroSanz,alejandrosanz.com,celebrity,alejandro,sanz
ricky martin,ricky_martin,bit.ly,celebrity,ricky,martin
ronaldinho gaí_cho,10Ronaldinho,,celebrity,ronaldinho,gaí_cho
simon cowell,SimonCowell,,celebrity,simon,cowell
wayne rooney,WayneRooney,waynerooney.com,celebrity,wayne,rooney
kevin durant,KDTrey5,,celebrity,kevin,durant
maroon 5,maroon5,maroon5.com,celebrity,maroon,5
raditya dika,radityadika,radityadika.com,celebrity,raditya,dika
kylie jenner,KylieJenner,,celebrity,kylie,jenner
claudia leitte,ClaudiaLeitte,claudialeitte.com,celebrity,claudia,leitte
danilo gentili,DaniloGentili,danilogentili.com,celebrity,danilo,gentili
ø£ø_™ƒø¿ ø_™‹øÇ™‰™_ø±™_,shugairi,i7san.net,celebrity,ø£ø_™ƒø¿,ø_™‹øÇ™‰™_ø±™_
snap - mionoficial,marcosmion,,celebrity,snap,-
deepika padukone,deepikapadukone,,celebrity,deepika,padukone
stephen fry,stephenfry,stephenfry.com,celebrity,stephen,fry
charlie sheen,charliesheen,charliesheen.com,celebrity,charlie,sheen
andrí©s iniesta,andresiniesta8,andresiniesta.es,celebrity,andrí©s,iniesta
hrithik roshan,iHrithik,,celebrity,hrithik,roshan
priyanka ,priyankachopra,iampriyankachopra.com,celebrity,priyanka,
luciano huck,LucianoHuck,globo.com,celebrity,luciano,huck
gerard piquí©,3gerardpique,,celebrity,gerard,piquí©
zac efron,ZacEfron,zacefron.com,celebrity,zac,efron
carly rae jepsen,carlyraejepsen,carlyraemusic.com,celebrity,carly,rae
russell brand,rustyrockets,russellbrand.com,celebrity,russell,brand
juanes,juanes,juanes.net,celebrity,juanes,
paulina rubio,paurubio,paulinarubio.com,celebrity,paulina,rubio
sean diddy combs,iamdiddy,Smarturl.it,celebrity,sean,diddy
ludacris,Ludacris,ludaversal.com,celebrity,ludacris,
shaq,SHAQ,,celebrity,shaq,
paulo coelho,paulocoelho,paulocoelhoblog.com,celebrity,paulo,coelho
sabrina sato rahal,SabrinaSatoReal,,celebrity,sabrina,sato
kelly clarkson,kelly_clarkson,kellyclarkson.com,celebrity,kelly,clarkson
tom hanks,tomhanks,playtone.com,celebrity,tom,hanks
ø_ø_ø_ø_ ø_™‹™‰ø±™Ê™_,Dr_alqarnee,youtube.com,celebrity,ø_ø_ø_ø_,ø_™‹™‰ø±™Ê™_
usher raymond iv,Usher,chains.tidal.com,celebrity,usher,raymond
akshay kumar,akshaykumar,,celebrity,akshay,kumar
luna maya,LunaMaya26,itslunamaya.com,celebrity,luna,maya
ricky gervais,rickygervais,rickygervais.com,celebrity,ricky,gervais
mesut í_zil,MesutOzil1088,mesutoezil.com,celebrity,mesut,í_zil
sherina sinna,sherinasinna,sherinamunaf.com,celebrity,sherina,sinna
cem yÛ±lmaz,CMYLMZ,cmylmz.com,celebrity,cem,yÛ±lmaz
nick jonas,nickjonas,nickjonas.com,celebrity,nick,jonas
xabi alonso,XabiAlonso,,celebrity,xabi,alonso
dwayne johnson,TheRock,,celebrity,dwayne,johnson
enrique iglesias,enrique305,enriqueiglesias.com,celebrity,enrique,iglesias
stephen colbert,StephenAtHome,,celebrity,stephen,colbert
sergio kun aguero,aguerosergiokun,sergioaguero.com,celebrity,sergio,kun
victoria justice,VictoriaJustice,vjustice.co,celebrity,victoria,justice
radamel falcao,FALCAO,,celebrity,radamel,falcao
lindsay lohan,lindsaylohan,official.lindsaylohan.com,celebrity,lindsay,lohan
a.r.rahman,arrahman,arrahman.com,celebrity,a.r.rahman,
austin mahone,AustinMahone,,celebrity,austin,mahone
victoria beckham,victoriabeckham,victoriabeckham.com,celebrity,victoria,beckham
james rodrí_guez,jamesdrodriguez,jamesrodriguez.com.co,celebrity,james,rodrí_guez
trey songz,TreySongz,smarturl.it,celebrity,trey,songz
sofia vergara,SofiaVergara,sofiavergara.com,celebrity,sofia,vergara
jessica alba,jessicaalba,,celebrity,jessica,alba
rafa nadal,RafaelNadal,rafaelnadal.com,celebrity,rafa,nadal
rafinha bastos,rafinhabastos,rafinhabastos.com.br,celebrity,rafinha,bastos
daddy yankee,daddy_yankee,youtu.be,celebrity,daddy,yankee
afgansyah reza,afgansyah_reza,afganworld.com,celebrity,afgansyah,reza
anahi,Anahi,youtube.com,celebrity,anahi,
lmfao,LMFAO,partyrockpeople.com,celebrity,lmfao,
william bonner,realwbonner,g1.com.br,celebrity,william,bonner
virat kohli ,imVkohli,,celebrity,virat,kohli
jessie j,JessieJ,jessiejofficial.com,celebrity,jessie,j
vidi aldiano,vidialdiano,vidialdiano.com,celebrity,vidi,aldiano
anne curtis-smith,annecurtissmith,anne.ph,celebrity,anne,curtis-smith
sachin tendulkar,sachin_rt,,celebrity,sachin,tendulkar
marcelo tas,MarceloTas,blogdotas.com.br,celebrity,marcelo,tas
™ƒøÇø_ø±™_ ø±ø_øÇø¿ ø_™‹ø_™ø_ø_™_,mishari_alafasy,misharialafasy.net,celebrity,™ƒøÇø_ø±™_,ø±ø_øÇø¿
carles puyol,Carles5puyol,carles5puyol.com,celebrity,carles,puyol
seth macfarlane,SethMacFarlane,,celebrity,seth,macfarlane
thalia,thalia,Thalia.com,celebrity,thalia,
marc anthony,MarcAnthony,marcanthonyonline.com,celebrity,marc,anthony
cesc fíæbregas soler,cesc4official,cescfabregas.com,celebrity,cesc,fíæbregas
50cent,50cent,smarturl.it,celebrity,50cent,
pharrell williams,Pharrell,smarturl.it,celebrity,pharrell,williams
j o e  j o n a s,joejonas,republicrec.co,celebrity,j,o
big sean,BigSean,uknowbigsean.com,celebrity,big,sean
5 seconds of summer,5SOS,,celebrity,5,seconds
aziz ansari,azizansari,azizansari.com,celebrity,aziz,ansari
kobe bryant,kobebryant,kobebryant.com,celebrity,kobe,bryant
david bisbal,davidbisbal,davidbisbal.com,celebrity,david,bisbal
abhishek bachchan ,juniorbachchan,,celebrity,abhishek,bachchan
tata werneck,Tatawerneck,,celebrity,tata,werneck
channing tatum,channingtatum,channingtatumunwrapped.com,celebrity,channing,tatum
robin van persie,Persie_Official,robinvanpersie.com,celebrity,robin,van
sonam kapoor,sonamakapoor,,celebrity,sonam,kapoor
